model,anls,lcr,pairs_total,pairs_ok,precision,recall,f1,accuracy,tp,fp,fn,tn,no_verdict,scored_rows,total_rows
SmolVLM,0.10333333333333333,0.15,100,15,1.0,0.009615384615384616,0.01904761904761905,0.4690721649484536,1,0,103,90,6,194,200
InternVL2,0.11291666666666668,0.07,100,7,0.4626865671641791,0.6888888888888889,0.5535714285714286,0.504950495049505,31,36,14,20,99,101,200
Janus,0.09166666666666667,0.02,100,2,0.4666666666666667,0.14583333333333334,0.22222222222222224,0.4367816091954023,7,8,41,31,113,87,200
Qwen2-VL,0.11291666666666668,0.39,100,39,0.631578947368421,0.5714285714285714,0.6,0.6,60,35,45,60,0,200,200
MiniCPM,0.08875,0.34,100,34,0.6,0.8365384615384616,0.6987951807228916,0.6231155778894473,87,58,17,37,1,199,200
