model,anls,lcr,pairs_total,pairs_ok,precision,recall,f1,accuracy,tp,fp,fn,tn,no_verdict,scored_rows,total_rows
SmolVLM,0.08625,0.16,50,8,0.5,0.43636363636363634,0.46601941747572817,0.4098360655737705,24,24,31,26,78,122,200
InternVL2,0.01,0.2,50,10,0.7352941176470589,0.33783783783783783,0.462962962962963,0.4540540540540541,25,9,49,59,15,185,200
Janus,0.06625,0.11,100,11,0.5833333333333334,0.16091954022988506,0.25225225225225223,0.5146198830409356,14,10,73,74,29,171,200
Qwen2-VL,0.10416666666666669,0.0,50,0,0.5,0.125,0.2,0.37362637362637363,9,9,63,59,18,182,200
MiniCPM,0.07541666666666667,0.22,100,22,0.6818181818181818,0.3191489361702128,0.43478260869565216,0.5542857142857143,30,14,64,67,25,175,200
