model,anls,lcr,pairs_total,pairs_ok,precision,recall,f1,accuracy,tp,fp,fn,tn,no_verdict,scored_rows,total_rows
SmolVLM,0.11833333333333335,0.16,100,16,0.0,0.0,0.0,0.4639175257731959,0,1,103,90,6,194,200
InternVL2,0.12,0.17,100,17,0.5846153846153846,0.6129032258064516,0.5984251968503937,0.6136363636363636,38,27,24,43,68,132,200
Janus,0.0875,0.02,100,2,0.5833333333333334,0.14583333333333334,0.23333333333333336,0.4588235294117647,7,5,41,32,115,85,200
Qwen2-VL,0.11958333333333333,0.4,100,40,0.7638888888888888,0.5238095238095238,0.6214689265536724,0.665,55,17,50,78,0,200,200
MiniCPM,0.08291666666666668,0.27,100,27,0.5761589403973509,0.8285714285714286,0.6796875,0.59,87,64,18,31,0,200,200
