model,anls,lcr,pairs_total,pairs_ok,precision,recall,f1,accuracy,tp,fp,fn,tn,no_verdict,scored_rows,total_rows
SmolVLM,0.11041666666666668,0.2,100,20,0.5,0.009615384615384616,0.01886792452830189,0.4720812182741117,1,1,103,92,3,197,200
InternVL2,0.10291666666666668,0.12,100,12,0.46551724137931033,0.5142857142857142,0.48868778280542985,0.435,54,62,51,33,0,200,200
Janus,0.08958333333333333,0.05,100,5,0.5833333333333334,0.2222222222222222,0.3218390804597701,0.3854166666666667,14,10,49,23,104,96,200
Qwen2-VL,0.1225,0.19,100,19,0.4921875,0.6,0.5407725321888411,0.465,63,65,42,30,0,200,200
MiniCPM,0.105,0.27,100,27,0.6071428571428571,0.6732673267326733,0.6384976525821596,0.6071428571428571,68,44,33,51,4,196,200
