model,anls,lcr,pairs_total,pairs_ok,precision,recall,f1,accuracy,tp,fp,fn,tn,no_verdict,scored_rows,total_rows
SmolVLM,0.12791666666666668,0.19,100,19,0.0,0.0,0.0,0.4595959595959596,0,2,105,91,2,198,200
InternVL2,0.09541666666666666,0.24,100,24,0.5413533834586466,0.6857142857142857,0.6050420168067226,0.53,72,61,33,34,0,200,200
Janus,0.09,0.08,100,8,0.6666666666666666,0.25806451612903225,0.37209302325581395,0.4953271028037383,16,8,46,37,93,107,200
Qwen2-VL,0.11125,0.23,100,23,0.5310344827586206,0.7333333333333333,0.6159999999999999,0.52,77,68,28,27,0,200,200
MiniCPM,0.06708333333333334,0.34,100,34,0.6530612244897959,0.6095238095238096,0.6305418719211824,0.625,64,34,41,61,0,200,200
